"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "PHP", "JavaScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084506_create_forums_table.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 5, 34
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084532_create_comments_table.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 5, 35
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084623_create_reports_table.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084655_create_expeditions_table.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084712_create_phantoms_table.php", "PHP", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 5, 38
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084730_create_products_table.php", "PHP", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 5, 39
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084805_create_invoices_table.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 5, 40
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_084814_create_invoice_details_table.php", "PHP", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 5, 39
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_10_102958_create_followers_table.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 5, 32
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_03_12_091137_create_enrollment_table.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 5, 32
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_04_01_091053_create_personal_access_tokens_table.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\migrations\2026_04_23_144028_create_report_votes_table.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 6, 5, 34
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\CommentSeeder.php", "PHP", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 10, 106
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 9, 38
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\EnrollmentSeeder.php", "PHP", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\ExpeditionSeeder.php", "PHP", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\database\seeders\FollowerSeeder.php", "PHP", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
